ticker,date,anomaly_flag,anomaly_score,daily_return,volume_ratio,volatility
AAPL,2026-06-18,0,0.1215,0.007,1.63,24.8
MSFT,2026-06-18,0,0.043,0.0013,1.53,38.3
NVDA,2026-06-18,0,0.0847,0.0295,1.37,45.3
TSLA,2026-06-18,0,0.1593,0.0104,1.24,45.8
GOOGL,2026-06-18,0,0.0633,0.0117,1.36,29.0
AMZN,2026-06-18,0,0.0481,0.029,1.71,32.9
META,2026-06-18,0,0.1299,0.017,1.51,45.0
NFLX,2026-06-18,0,0.0506,0.0055,2.33,22.2
AMD,2026-06-18,0,0.0015,0.0486,1.37,81.7
INTC,2026-06-18,1,-0.0632,0.1064,1.78,93.7
