ticker,date,close,daily_return,Volume_ratio,Volatility_20,ATR_14,BB_pct,abs_return,anomaly_flag,anomaly_score
AAPL,2024-07-19,222.3836212158203,0.00058,0.7235,0.2484,5.3098,0.5612,0.00058,0,0.1934
AAPL,2024-07-22,222.03663635253903,-0.00156,0.8274,0.2437,5.2512,0.5312,0.00156,0,0.2063
AAPL,2024-07-23,223.0775909423828,0.004688,0.7108,0.2437,5.1614,0.541,0.004688,0,0.2052
AAPL,2024-07-24,216.66314697265625,-0.028754,1.0928,0.27,5.3893,0.2959,0.028754,0,0.1339
AAPL,2024-07-25,215.6221923828125,-0.004804,0.9211,0.2628,5.4559,0.2396,0.004804,0,0.2
AAPL,2024-07-26,216.08816528320312,0.002161,0.7512,0.2626,5.2883,0.2397,0.002161,0,0.1952
AAPL,2024-07-29,216.36575317382812,0.001285,0.6842,0.2546,5.1422,0.204,0.001285,0,0.1783
AAPL,2024-07-30,216.92092895507812,0.002566,0.7988,0.2335,5.0631,0.2171,0.002566,0,0.1951
AAPL,2024-07-31,220.1727752685547,0.014991,0.9672,0.2324,5.0561,0.3582,0.014991,0,0.1876
AAPL,2024-08-01,216.48472595214844,-0.016751,1.1795,0.2393,5.2435,0.2051,0.016751,0,0.1723
AAPL,2024-08-02,217.97181701660156,0.006869,1.9109,0.2265,5.4483,0.2895,0.006869,0,0.1433
AAPL,2024-08-05,207.4727783203125,-0.048167,2.0516,0.2785,6.8827,-0.0443,0.048167,1,-0.0039
AAPL,2024-08-06,205.45030212402344,-0.009748,1.1737,0.2776,7.036,-0.0153,0.009748,0,0.128
AAPL,2024-08-07,208.01806640625,0.012498,1.0694,0.2713,7.0478,0.1155,0.012498,0,0.1445
AAPL,2024-08-08,211.47808837890625,0.016633,0.8059,0.2728,6.9147,0.2555,0.016633,0,0.1483
AAPL,2024-08-09,214.3829345703125,0.013736,0.7279,0.2734,6.75,0.3687,0.013736,0,0.172
AAPL,2024-08-12,215.91146850585935,0.00713,0.6702,0.2662,6.5309,0.4425,0.00713,0,0.181
AAPL,2024-08-13,219.6236267089844,0.017193,0.7775,0.2757,6.3635,0.6293,0.017193,0,0.166
AAPL,2024-08-14,220.0703125,0.002034,0.749,0.2629,6.1322,0.6802,0.002034,0,0.1958
AAPL,2024-08-15,223.04798889160156,0.013531,0.8433,0.2577,5.9418,0.8222,0.013531,0,0.1812
AAPL,2024-08-16,224.3680877685547,0.005918,0.8091,0.2585,5.7328,0.8718,0.005918,0,0.1946
AAPL,2024-08-19,224.2092437744141,-0.000708,0.7476,0.2584,5.5276,0.8497,0.000708,0,0.1889
AAPL,2024-08-20,224.82464599609375,0.002745,0.5617,0.2581,5.2429,0.866,0.002745,0,0.1784
AAPL,2024-08-21,224.71546936035156,-0.000486,0.6611,0.234,5.0695,0.8262,0.000486,0,0.1843
AAPL,2024-08-22,222.859375,-0.00826,0.837,0.2356,5.0204,0.7256,0.00826,0,0.2062
AAPL,2024-08-23,225.15219116210935,0.010288,0.743,0.2376,4.9348,0.7921,0.010288,0,0.1977
AAPL,2024-08-26,225.4896697998047,0.001499,0.5911,0.2375,4.8191,0.7778,0.001499,0,0.1949
AAPL,2024-08-27,226.33334350585935,0.003742,0.6979,0.2376,4.7538,0.7824,0.003742,0,0.2086
AAPL,2024-08-28,224.8047790527344,-0.006754,0.7478,0.2346,4.7094,0.7114,0.006754,0,0.2033
AAPL,2024-08-29,228.08023071289065,0.01457,1.0307,0.2292,4.8319,0.8005,0.01457,0,0.1852
AAPL,2024-08-30,227.296142578125,-0.003438,1.1102,0.2297,4.6905,0.7489,0.003438,0,0.1989
AAPL,2024-09-03,221.1125030517578,-0.027205,1.1339,0.174,4.9154,0.5097,0.027205,0,0.1304
AAPL,2024-09-04,219.2067718505859,-0.008619,1.0202,0.1729,4.9398,0.3918,0.008619,0,0.2009
AAPL,2024-09-05,220.72537231445312,0.006928,0.8796,0.1701,4.9148,0.4169,0.006928,0,0.2031
AAPL,2024-09-06,219.177001953125,-0.007015,1.1615,0.1657,4.9522,0.2697,0.007015,0,0.1935
AAPL,2024-09-09,219.26632690429688,0.000408,1.5646,0.1596,4.9212,0.2269,0.000408,0,0.1424
AAPL,2024-09-10,218.47227478027344,-0.003621,1.1828,0.1589,4.9063,0.1277,0.003621,0,0.18
AAPL,2024-09-11,221.00328063964844,0.011585,1.0218,0.1522,4.9247,0.3291,0.011585,0,0.1918
AAPL,2024-09-12,221.1125030517578,0.000494,0.8628,0.1521,4.8363,0.3313,0.000494,0,0.1849
AAPL,2024-09-13,220.8444976806641,-0.001212,0.8564,0.1438,4.6395,0.3203,0.001212,0,0.1919
AAPL,2024-09-16,214.71047973632812,-0.027775,1.3589,0.1712,4.9195,-0.0641,0.027775,0,0.0901
AAPL,2024-09-17,215.17697143554688,0.002173,1.0364,0.1718,4.7364,0.0469,0.002173,0,0.1729
AAPL,2024-09-18,219.04795837402344,0.01799,1.3192,0.1854,4.8186,0.3222,0.01799,0,0.1582
AAPL,2024-09-19,227.1670837402344,0.037066,1.4208,0.2299,5.1243,0.8399,0.037066,0,0.0732
AAPL,2024-09-20,226.5020751953125,-0.002927,5.2456,0.228,5.1463,0.7764,0.002927,0,0.0019
AAPL,2024-09-23,224.78494262695312,-0.007581,0.8801,0.227,5.0359,0.6719,0.007581,0,0.2065
AAPL,2024-09-24,225.67825317382812,0.003974,0.7006,0.2274,4.9322,0.7263,0.003974,0,0.2068
AAPL,2024-09-25,224.68569946289065,-0.004398,0.677,0.2275,4.8166,0.6732,0.004398,0,0.2043
AAPL,2024-09-26,225.82711791992188,0.00508,0.5869,0.227,4.6909,0.7393,0.00508,0,0.198
AAPL,2024-09-27,226.09510803222656,0.001187,0.553,0.2207,4.5122,0.7715,0.001187,0,0.1821
AAPL,2024-09-30,231.26638793945312,0.022872,0.8854,0.2351,4.5595,1.0404,0.022872,0,0.1082
AAPL,2024-10-01,224.5269012451172,-0.029142,1.0165,0.2383,4.892,0.6325,0.029142,0,0.1241
AAPL,2024-10-02,225.0926513671875,0.00252,0.5328,0.2356,4.8508,0.649,0.00252,0,0.189
AAPL,2024-10-03,223.99090576171875,-0.004895,0.5528,0.2357,4.7513,0.5748,0.004895,0,0.1878
AAPL,2024-10-04,225.1125030517578,0.005007,0.6103,0.2343,4.686,0.6251,0.005007,0,0.2017
AAPL,2024-10-07,220.04051208496097,-0.022531,0.6624,0.2493,4.7393,0.3185,0.022531,0,0.1286
AAPL,2024-10-08,224.09014892578125,0.018404,0.5431,0.2568,4.7048,0.5468,0.018404,0,0.143
AAPL,2024-10-09,227.8321075439453,0.016698,0.5781,0.2601,4.7176,0.7535,0.016698,0,0.1556
AAPL,2024-10-10,227.3358154296875,-0.002178,0.489,0.2605,4.5482,0.7027,0.002178,0,0.1798
AAPL,2024-10-11,225.85690307617188,-0.006505,0.5534,0.2619,4.3696,0.5991,0.006505,0,0.1729
AAPL,2024-10-14,229.5790252685547,0.01648,0.7069,0.2433,4.3538,0.8215,0.01648,0,0.1587
AAPL,2024-10-15,232.1100616455078,0.011025,1.1285,0.2447,4.482,1.0062,0.011025,0,0.1679
AAPL,2024-10-16,230.0554351806641,-0.008852,0.6077,0.2427,4.446,0.8285,0.008852,0,0.1773
AAPL,2024-10-17,230.4226837158203,0.001596,0.6065,0.2057,4.3644,0.8303,0.001596,0,0.1829
AAPL,2024-10-18,233.25144958496097,0.012276,1.1384,0.2091,4.3383,0.9831,0.012276,0,0.1652
